Begin IJ Block
1   1   -25.4890171920
1   2   0.0000000000
1   3   -0.4961723838
1   4   -0.0000000187
1   5   -0.0228700562
2   2   -25.4890342847
2   3   -0.0000000186
2   4   0.4987468462
2   5   -0.0000000016
3   3   -6.4169082328
3   4   0.0000000006
3   5   0.0689785029
4   4   -6.4283426200
4   5   -0.0000000017
4   7   0.0000000000
5   5   -5.6123009687
6   6   -5.6503101425
6   7   0.0000000000
7   7   -5.6503101425

End IJ Block
Begin IA Block
1   3   0.0000000005
1   4   -0.1370104729
1   7   -0.0000000087
1   10   -0.2862864040
1   11   0.0000000086
1   12   -0.0142570981
1   18   -0.0000000000
1   21   0.0000000015
2   3   -0.0145316845
2   4   -0.0000000059
2   7   0.2325213436
2   10   -0.0000000108
2   11   -0.2251862986
2   12   -0.0000000006
2   15   0.0000000000
2   21   -0.0377871485
3   3   0.0000000017
3   4   -0.4869897641
3   7   -0.0000000039
3   8   0.0000000000
3   10   -0.9566214990
3   11   -0.0000000033
3   12   -0.0680185132
3   17   0.0000000000
3   18   0.0000000000
3   21   -0.0000000016
4   3   0.1775538239
4   4   -0.0000000050
4   7   -0.8091120244
4   10   0.0000000005
4   11   0.6927699671
4   12   -0.0000000005
4   15   0.0000000000
4   21   0.0696158270
5   2   -0.0000000000
5   3   -0.0000000096
5   4   1.1438142922
5   7   0.0000000153
5   8   0.0000000000
5   9   -0.0000000000
5   10   -0.6778168366
5   11   0.0000000141
5   12   0.2175426148
5   17   -0.0000000000
5   18   -0.0000000000
5   19   0.0000000000
5   21   0.0000000067
6   1   -0.0000000030
6   2   -0.0000000011
6   5   0.0040273000
6   6   -1.3623140373
6   8   -0.0000000051
6   9   -0.0000000095
6   13   -0.1247970794
6   14   -0.0000391538
6   17   -0.0000000000
6   20   0.0000000004
7   1   0.0000000010
7   2   -0.0000000029
7   5   1.3623140373
7   6   0.0040273000
7   7   -0.0000000000
7   8   0.0000000091
7   9   -0.0000000049
7   11   -0.0000000000
7   13   0.0000391538
7   14   -0.1247970794
7   18   -0.0000000000
7   19   -0.0000000005

End IA Block
Begin AB Block
1   1   -5.6480498995
1   4   -0.0000000000
1   5   0.0000000037
1   6   0.0000000101
1   8   1.0243911008
1   9   0.9299689141
1   10   0.0000000000
1   13   0.0000000003
1   14   -0.0000000001
1   19   0.0259819107
1   20   0.0737988368
2   2   -5.6480498995
2   4   0.0000000000
2   5   -0.0000000107
2   6   0.0000000035
2   8   -0.9299689141
2   9   1.0243911008
2   10   -0.0000000000
2   12   0.0000000000
2   13   0.0000000001
2   14   0.0000000004
2   19   -0.0737988368
2   20   0.0259819107
3   3   -5.7408961570
3   4   -0.0000000200
3   5   -0.0000000000
3   7   -0.9871130191
3   10   0.0000000008
3   11   -0.9382482769
3   12   -0.0000000024
3   14   0.0000000000
3   15   -0.0000000000
3   21   -0.0789019354
4   4   -4.2864032121
4   7   0.0000000419
4   8   0.0000000000
4   10   -0.0671107601
4   11   0.0000000351
4   12   0.0501991241
4   18   -0.0000000000
4   21   0.0000000184
5   5   -3.8349897783
5   7   -0.0000000000
5   8   0.0000000286
5   9   -0.0000000156
5   13   -0.0001554521
5   14   -0.0588281810
5   19   -0.0000000016
5   20   0.0000000000
6   6   -3.8349897783
6   8   0.0000000156
6   9   0.0000000287
6   13   0.0588281810
6   14   -0.0001554521
6   19   -0.0000000000
6   20   -0.0000000016
7   7   -3.6441038648
7   10   -0.0000000015
7   11   0.0534271752
7   12   0.0000000050
7   15   0.0000000000
7   21   -0.0005273789
8   8   -3.7750915745
8   13   0.0000000005
8   14   -0.0000000010
8   19   0.0396231371
8   20   0.0213979587
9   9   -3.7750915745
9   13   0.0000000010
9   14   0.0000000005
9   19   -0.0213979587
9   20   0.0396231371
10   10   -3.6701332136
10   11   -0.0000000013
10   12   -0.0245201799
10   18   0.0000000000
10   21   -0.0000000006
11   11   -3.9039767191
11   12   0.0000000042
11   15   -0.0000000000
11   21   -0.1254359075
12   12   -3.4868124392
12   18   0.0000000000
12   21   0.0000000022
13   13   -3.4832783141
13   20   -0.0000000001
14   14   -3.4832783141
14   19   0.0000000001
15   15   -3.4504845206
15   16   -0.0000000001
15   17   0.0000000000
15   18   0.0000000003
16   16   -3.4504845194
16   17   -0.0000000001
16   18   0.0000000000
17   17   -3.4501898743
17   18   0.0000000003
18   18   -3.4501898694
19   19   -3.4905444064
20   20   -3.4905444064
21   21   -3.5435737523

End AB Block
Begin IJAB Block
1   8   1   22   0.0129362965
1   8   1   26   -0.0000000003
1   8   1   27   -0.0000000008
1   8   1   29   -0.0078854650
1   8   1   30   -0.0071586304
1   8   1   34   -0.0000000000
1   8   1   35   0.0000000000
1   8   1   40   0.0000987101
1   8   1   41   0.0002803754
1   8   2   23   0.0129362965
1   8   2   26   0.0000000008
1   8   2   27   -0.0000000003
1   8   2   29   0.0071586304
1   8   2   30   -0.0078854650
1   8   2   34   -0.0000000000
1   8   2   35   -0.0000000000
1   8   2   40   -0.0002803754
1   8   2   41   0.0000987101
1   8   3   24   0.0134200477
1   8   3   25   -0.0000000008
1   8   3   28   0.0066390762
1   8   3   31   0.0000000003
1   8   3   32   0.0087196270
1   8   3   33   -0.0000000001
1   8   3   42   0.0023710666
1   8   4   24   -0.0000000008
1   8   4   25   0.0105519120
1   8   4   31   0.0028449979
1   8   4   32   -0.0000000008
1   8   4   33   0.0010928758
1   8   4   42   -0.0000000002
1   8   5   22   -0.0000000003
1   8   5   23   0.0000000008
1   8   5   26   0.0084670260
1   8   5   29   0.0000000005
1   8   5   30   -0.0000000003
1   8   5   34   -0.0000005447
1   8   5   35   -0.0002061293
1   8   5   40   -0.0000000000
1   8   6   22   -0.0000000008
1   8   6   23   -0.0000000003
1   8   6   27   0.0084670260
1   8   6   29   0.0000000003
1   8   6   30   0.0000000005
1   8   6   34   0.0002061293
1   8   6   35   -0.0000005447
1   8   6   41   -0.0000000000
1   8   7   24   0.0066390762
1   8   7   28   0.0123998157
1   8   7   31   0.0000000010
1   8   7   32   -0.0039980817
1   8   7   33   0.0000000000
1   8   7   42   -0.0002014939
1   8   8   22   -0.0078854650
1   8   8   23   0.0071586304
1   8   8   26   0.0000000005
1   8   8   27   0.0000000003
1   8   8   29   0.0087286401
1   8   8   34   0.0000000000
1   8   8   35   -0.0000000000
1   8   8   40   -0.0002172664
1   8   8   41   -0.0001173319
1   8   9   22   -0.0071586304
1   8   9   23   -0.0078854650
1   8   9   26   -0.0000000003
1   8   9   27   0.0000000005
1   8   9   30   0.0087286401
1   8   9   34   0.0000000000
1   8   9   35   0.0000000000
1   8   9   40   0.0001173319
1   8   9   41   -0.0002172664
1   8   10   24   0.0000000003
1   8   10   25   0.0028449979
1   8   10   28   0.0000000010
1   8   10   31   0.0145459015
1   8   10   32   -0.0000000006
1   8   10   33   0.0003488551
1   8   10   42   -0.0000000001
1   8   11   24   0.0087196270
1   8   11   25   -0.0000000008
1   8   11   28   -0.0039980817
1   8   11   31   -0.0000000006
1   8   11   32   0.0131394952
1   8   11   33   -0.0000000001
1   8   11   42   0.0027776408
1   8   12   24   -0.0000000001
1   8   12   25   0.0010928758
1   8   12   28   0.0000000000
1   8   12   31   0.0003488551
1   8   12   32   -0.0000000001
1   8   12   33   0.0000752480
1   8   12   42   -0.0000000000
1   8   13   22   -0.0000000000
1   8   13   23   -0.0000000000
1   8   13   26   -0.0000005447
1   8   13   27   0.0002061293
1   8   13   29   0.0000000000
1   8   13   30   0.0000000000
1   8   13   34   -0.0000331585
1   8   13   41   -0.0000000000
1   8   14   22   0.0000000000
1   8   14   23   -0.0000000000
1   8   14   26   -0.0002061293
1   8   14   27   -0.0000005447
1   8   14   29   -0.0000000000
1   8   14   30   0.0000000000
1   8   14   35   -0.0000331585
1   8   14   40   0.0000000000
1   8   15   36   -0.0000380097
1   8   15   37   -0.0000000000
1   8   15   39   -0.0000000000
1   8   16   36   -0.0000000000
1   8   16   37   -0.0000380093
1   8   16   38   0.0000000000
1   8   17   37   0.0000000000
1   8   17   38   -0.0000353464
1   8   17   39   -0.0000000000
1   8   18   36   -0.0000000000
1   8   18   38   -0.0000000000
1   8   18   39   -0.0000353468
1   8   19   22   0.0000987101
1   8   19   23   -0.0002803754
1   8   19   26   -0.0000000000
1   8   19   29   -0.0002172664
1   8   19   30   0.0001173319
1   8   19   35   0.0000000000
1   8   19   40   -0.0000262627
1   8   20   22   0.0002803754
1   8   20   23   0.0000987101
1   8   20   27   -0.0000000000
1   8   20   29   -0.0001173319
1   8   20   30   -0.0002172664
1   8   20   34   -0.0000000000
1   8   20   41   -0.0000262627
1   8   21   24   0.0023710666
1   8   21   25   -0.0000000002
1   8   21   28   -0.0002014939
1   8   21   31   -0.0000000001
1   8   21   32   0.0027776408
1   8   21   33   -0.0000000000
1   8   21   42   0.0005942494
1   9   1   22   0.0000000000
1   9   1   23   0.0000000000
1   9   1   26   0.0034458259
1   9   1   27   0.0099128616
1   9   1   29   0.0000000000
1   9   1   30   0.0000000000
1   9   1   34   0.0002453592
1   9   1   35   -0.0000860171
1   9   1   40   -0.0000000000
1   9   1   41   -0.0000000000
1   9   2   22   0.0000000000
1   9   2   23   -0.0000000000
1   9   2   26   -0.0099128616
1   9   2   27   0.0034458259
1   9   2   29   -0.0000000000
1   9   2   30   0.0000000000
1   9   2   34   0.0000860171
1   9   2   35   0.0002453592
1   9   2   40   0.0000000000
1   9   2   41   -0.0000000000
1   9   3   24   -0.0000000000
1   9   3   25   0.0103926397
1   9   3   31   -0.0038600315
1   9   3   32   -0.0000000000
1   9   3   33   0.0010589739
1   9   3   42   -0.0000000000
1   9   4   24   0.0104147445
1   9   4   25   -0.0000000000
1   9   4   28   0.0003280107
1   9   4   31   0.0000000000
1   9   4   32   0.0110719970
1   9   4   33   0.0000000000
1   9   4   42   0.0025362904
1   9   5   22   0.0034494436
1   9   5   23   -0.0099232691
1   9   5   26   -0.0000000000
1   9   5   29   -0.0075507147
1   9   5   30   0.0041164362
1   9   5   35   -0.0000000000
1   9   5   40   0.0002413009
1   9   5   41   -0.0000009572
1   9   6   22   0.0099232691
1   9   6   23   0.0034494436
1   9   6   27   -0.0000000000
1   9   6   29   -0.0041164362
1   9   6   30   -0.0075507147
1   9   6   34   0.0000000000
1   9   6   40   0.0000009572
1   9   6   41   0.0002413009
1   9   7   25   0.0003154599
1   9   7   28   -0.0000000000
1   9   7   31   -0.0129780873
1   9   7   32   -0.0000000000
1   9   7   33   -0.0000181882
1   9   7   42   -0.0000000000
1   9   8   22   0.0000000000
1   9   8   23   -0.0000000000
1   9   8   26   -0.0075430585
1   9   8   27   -0.0041122623
1   9   8   29   0.0000000001
1   9   8   34   -0.0000982799
1   9   8   35   0.0001814123
1   9   8   40   -0.0000000000
1   9   8   41   -0.0000000000
1   9   9   22   0.0000000000
1   9   9   23   0.0000000000
1   9   9   26   0.0041122623
1   9   9   27   -0.0075430585
1   9   9   30   0.0000000001
1   9   9   34   -0.0001814123
1   9   9   35   -0.0000982799
1   9   9   40   0.0000000000
1   9   9   41   -0.0000000000
1   9   10   24   -0.0038687645
1   9   10   25   0.0000000000
1   9   10   28   -0.0129835584
1   9   10   32   0.0075596239
1   9   10   42   0.0009828903
1   9   11   24   -0.0000000000
1   9   11   25   0.0110604203
1   9   11   28   -0.0000000000
1   9   11   31   0.0075642117
1   9   11   32   -0.0000000000
1   9   11   33   0.0011543365
1   9   11   42   0.0000000000
1   9   12   24   0.0010625875
1   9   12   25   0.0000000000
1   9   12   28   -0.0000159914
1   9   12   32   0.0011561647
1   9   12   33   0.0000000000
1   9   12   42   0.0002971042
1   9   13   22   0.0002464476
1   9   13   23   0.0000863986
1   9   13   27   0.0000000000
1   9   13   29   -0.0000987086
1   9   13   30   -0.0001822035
1   9   13   40   0.0000000514
1   9   13   41   0.0000387970
1   9   14   22   -0.0000863986
1   9   14   23   0.0002464476
1   9   14   26   -0.0000000000
1   9   14   29   0.0001822035
1   9   14   30   -0.0000987086
1   9   14   40   -0.0000387970
1   9   14   41   0.0000000514
1   9   15   38   0.0000033829
1   9   15   39   0.0000345298
1   9   16   37   0.0000000000
1   9   16   38   -0.0000345294
1   9   16   39   0.0000033829
1   9   17   36   0.0000034063
1   9   17   37   -0.0000347679
1   9   17   38   0.0000000000
1   9   18   36   0.0000347683
1   9   18   37   0.0000034063
1   9   19   22   -0.0000000000
1   9   19   23   0.0000000000
1   9   19   26   0.0002410963
1   9   19   27   0.0000009564
1   9   19   29   -0.0000000000
1   9   19   30   0.0000000000
1   9   19   34   0.0000000517
1   9   19   35   -0.0000390529
1   9   19   40   0.0000000000
1   9   20   22   -0.0000000000
1   9   20   23   -0.0000000000
1   9   20   26   -0.0000009564
1   9   20   27   0.0002410963
1   9   20   29   -0.0000000000
1   9   20   30   -0.0000000000
1   9   20   34   0.0000390529
1   9   20   35   0.0000000517
1   9   20   41   0.0000000000
1   9   21   24   -0.0000000000
1   9   21   25   0.0025332544
1   9   21   28   -0.0000000000
1   9   21   31   0.0009836838
1   9   21   32   0.0000000000
1   9   21   33   0.0002968115
1   9   21   42   0.0000000000
1   10   1   22   -0.0140455978
1   10   1   26   0.0000000001
1   10   1   27   0.0000000002
1   10   1   29   0.0063826640
1   10   1   30   0.0057943485
1   10   1   34   0.0000000000
1   10   1   35   -0.0000000000
1   10   1   40   -0.0000494208
1   10   1   41   -0.0001403746
1   10   2   23   -0.0140455978
1   10   2   26   -0.0000000002
1   10   2   27   0.0000000001
1   10   2   29   -0.0057943485
1   10   2   30   0.0063826640
1   10   2   34   0.0000000000
1   10   2   35   0.0000000000
1   10   2   40   0.0001403746
1   10   2   41   -0.0000494208
1   10   3   24   -0.0143304044
1   10   3   25   0.0000000004
1   10   3   28   -0.0063021163
1   10   3   31   -0.0000000002
1   10   3   32   -0.0057118780
1   10   3   33   0.0000000000
1   10   3   42   -0.0012290046
1   10   4   24   0.0000000005
1   10   4   25   -0.0054050018
1   10   4   28   0.0000000001
1   10   4   31   0.0043637979
1   10   4   32   -0.0000000000
1   10   4   33   -0.0003052554
1   10   4   42   -0.0000000000
1   10   5   22   0.0000000001
1   10   5   23   -0.0000000004
1   10   5   26   -0.0069340122
1   10   5   29   -0.0000000003
1   10   5   30   0.0000000002
1   10   5   34   0.0000003140
1   10   5   35   0.0001188091
1   10   5   40   0.0000000000
1   10   6   22   0.0000000004
1   10   6   23   0.0000000001
1   10   6   27   -0.0069340122
1   10   6   29   -0.0000000002
1   10   6   30   -0.0000000003
1   10   6   34   -0.0001188091
1   10   6   35   0.0000003140
1   10   6   41   0.0000000000
1   10   7   24   -0.0081316758
1   10   7   25   0.0000000001
1   10   7   28   -0.0014061123
1   10   7   31   0.0000000000
1   10   7   32   -0.0052983054
1   10   7   33   0.0000000000
1   10   7   42   -0.0010357784
1   10   8   22   0.0084375118
1   10   8   23   -0.0076597929
1   10   8   26   -0.0000000003
1   10   8   27   -0.0000000001
1   10   8   29   -0.0069953331
1   10   8   35   0.0000000000
1   10   8   40   0.0000918755
1   10   8   41   0.0000496162
1   10   9   22   0.0076597929
1   10   9   23   0.0084375118
1   10   9   26   0.0000000001
1   10   9   27   -0.0000000003
1   10   9   30   -0.0069953331
1   10   9   34   -0.0000000000
1   10   9   40   -0.0000496162
1   10   9   41   0.0000918755
1   10   10   24   -0.0000000002
1   10   10   25   0.0045428000
1   10   10   28   0.0000000000
1   10   10   31   0.0016983499
1   10   10   32   -0.0000000001
1   10   10   33   0.0003894627
1   10   10   42   -0.0000000000
1   10   11   24   -0.0080591618
1   10   11   25   -0.0000000000
1   10   11   28   -0.0055025894
1   10   11   31   -0.0000000001
1   10   11   32   -0.0013807431
1   10   11   33   0.0000000000
1   10   11   42   -0.0002673340
1   10   12   24   0.0000000000
1   10   12   25   -0.0004364438
1   10   12   28   0.0000000000
1   10   12   31   0.0004189784
1   10   12   32   0.0000000000
1   10   12   33   -0.0007191215
1   10   12   42   -0.0000000000
1   10   13   22   0.0000000000
1   10   13   23   0.0000000000
1   10   13   26   0.0000003618
1   10   13   27   -0.0001369141
1   10   13   29   -0.0000000000
1   10   13   30   -0.0000000000
1   10   13   34   -0.0006977061
1   10   13   41   -0.0000000000
1   10   14   22   -0.0000000000
1   10   14   23   0.0000000000
1   10   14   26   0.0001369141
1   10   14   27   0.0000003618
1   10   14   29   0.0000000000
1   10   14   30   -0.0000000000
1   10   14   35   -0.0006977061
1   10   14   40   0.0000000000
1   10   15   36   -0.0006955414
1   10   15   37   -0.0000000000
1   10   15   38   -0.0000000000
1   10   15   39   0.0000000000
1   10   16   36   -0.0000000000
1   10   16   37   -0.0006955409
1   10   16   38   0.0000000001
1   10   16   39   -0.0000000000
1   10   17   36   -0.0000000000
1   10   17   37   0.0000000001
1   10   17   38   -0.0007093339
1   10   17   39   -0.0000000000
1   10   18   36   0.0000000000
1   10   18   37   -0.0000000000
1   10   18   38   -0.0000000000
1   10   18   39   -0.0007093344
1   10   19   22   -0.0000975614
1   10   19   23   0.0002771128
1   10   19   26   0.0000000001
1   10   19   29   0.0001441298
1   10   19   30   -0.0000778354
1   10   19   35   0.0000000000
1   10   19   40   -0.0007134676
1   10   20   22   -0.0002771128
1   10   20   23   -0.0000975614
1   10   20   27   0.0000000001
1   10   20   29   0.0000778354
1   10   20   30   0.0001441298
1   10   20   34   -0.0000000000
1   10   20   41   -0.0007134676
1   10   21   24   -0.0021633904
1   10   21   25   -0.0000000000
1   10   21   28   -0.0012427985
1   10   21   31   -0.0000000000
1   10   21   32   -0.0004603304
1   10   21   33   -0.0000000000
1   10   21   42   -0.0008439236
1   11   1   22   -0.0000000005
1   11   1   23   0.0000000000
1   11   1   26   0.0028794278
1   11   1   27   0.0082834625
1   11   1   29   0.0000000003
1   11   1   30   0.0000000003
1   11   1   34   -0.0001063703
1   11   1   35   0.0000372909
1   11   1   40   -0.0000000000
1   11   1   41   -0.0000000000
1   11   2   22   0.0000000000
1   11   2   23   -0.0000000005
1   11   2   26   -0.0082834625
1   11   2   27   0.0028794278
1   11   2   29   -0.0000000003
1   11   2   30   0.0000000003
1   11   2   34   -0.0000372909
1   11   2   35   -0.0001063703
1   11   2   40   0.0000000000
1   11   2   41   -0.0000000000
1   11   3   24   -0.0000000006
1   11   3   25   0.0083584294
1   11   3   28   -0.0000000002
1   11   3   31   -0.0043138407
1   11   3   32   -0.0000000001
1   11   3   33   0.0002150352
1   11   3   42   -0.0000000000
1   11   4   24   0.0107809629
1   11   4   25   -0.0000000003
1   11   4   28   0.0058604560
1   11   4   31   0.0000000002
1   11   4   32   0.0029764968
1   11   4   33   0.0000000000
1   11   4   42   0.0008215424
1   11   5   22   0.0037785777
1   11   5   23   -0.0108701134
1   11   5   26   -0.0000000002
1   11   5   29   -0.0061089164
1   11   5   30   0.0033304085
1   11   5   35   -0.0000000000
1   11   5   40   0.0002409246
1   11   5   41   -0.0000009557
1   11   6   22   0.0108701134
1   11   6   23   0.0037785777
1   11   6   27   -0.0000000002
1   11   6   29   -0.0033304085
1   11   6   30   -0.0061089164
1   11   6   34   0.0000000000
1   11   6   40   0.0000009557
1   11   6   41   0.0002409246
1   11   7   24   -0.0000000003
1   11   7   25   0.0058565691
1   11   7   28   -0.0000000001
1   11   7   31   0.0002675029
1   11   7   32   -0.0000000003
1   11   7   33   0.0002927864
1   11   7   42   -0.0000000001
1   11   8   22   0.0000000003
1   11   8   23   -0.0000000003
1   11   8   26   -0.0062276254
1   11   8   27   -0.0033951253
1   11   8   29   -0.0000000002
1   11   8   34   0.0000349628
1   11   8   35   -0.0000645370
1   11   8   40   0.0000000000
1   11   8   41   0.0000000000
1   11   9   22   0.0000000003
1   11   9   23   0.0000000003
1   11   9   26   0.0033951253
1   11   9   27   -0.0062276254
1   11   9   30   -0.0000000002
1   11   9   34   0.0000645370
1   11   9   35   0.0000349628
1   11   9   40   -0.0000000000
1   11   9   41   0.0000000000
1   11   10   24   -0.0054744666
1   11   10   25   0.0000000002
1   11   10   28   0.0002758969
1   11   10   31   0.0000000001
1   11   10   32   -0.0045694831
1   11   10   33   0.0000000000
1   11   10   42   -0.0009282186
1   11   11   24   -0.0000000002
1   11   11   25   0.0036506860
1   11   11   28   -0.0000000003
1   11   11   31   -0.0048453271
1   11   11   32   -0.0000000002
1   11   11   33   0.0000902193
1   11   11   42   -0.0000000001
1   11   12   24   0.0009573596
1   11   12   25   -0.0000000000
1   11   12   28   0.0005659050
1   11   12   31   0.0000000000
1   11   12   32   0.0003521865
1   11   12   33   -0.0000000000
1   11   12   42   -0.0006381301
1   11   13   22   0.0002148686
1   11   13   23   0.0000753278
1   11   13   27   -0.0000000000
